x,y,C
20,2,8.837030403870014e-10
21,2,1.0362784569474945e-9
22,2,1.365533173604427e-9
23,2,2.1741984036473964e-9
24,2,4.408514353612516e-9
25,2,1.0471374644487289e-8
26,2,1.9163970104983297e-8
27,2,2.7733518918725234e-8
28,2,3.319615463122411e-8
29,2,3.517734134457126e-8
30,2,3.58445837828167e-8
31,2,3.6048400542326915e-8
32,2,3.58826579315307e-8
33,2,3.496587254873839e-8
34,2,3.134336603369049e-8
35,2,2.563364907767984e-8
36,2,1.8628173902516248e-8
37,2,1.4830359099852282e-8
38,2,1.4014199325314802e-8
39,2,1.5805631386772096e-8
40,2,1.8627504247823133e-8
41,2,2.3199161786167105e-8
42,2,3.046851944033803e-8
43,2,4.2180527469849054e-8
44,2,6.023708205117051e-8
45,2,8.346631561514544e-8
46,2,1.1178345602107589e-7
47,2,1.4466239259881743e-7
48,2,1.801934274374046e-7
49,2,2.1573831665882477e-7
50,2,2.3664318713055454e-7
51,2,2.436476500760439e-7
52,2,2.4499330586697035e-7
53,2,2.435618931099716e-7
54,2,2.2660469860635007e-7
55,2,1.9057895986409498e-7
56,2,1.4980406768144893e-7
57,2,1.1002664420186868e-7
58,2,7.60765200397926e-8
59,2,4.990567109890515e-8
60,2,3.202832789141661e-8
61,2,2.110801400648916e-8
62,2,1.522541425432084e-8
63,2,1.1946321638245733e-8
64,2,1.0658833224443714e-8
65,2,1.0402868113018102e-8
66,2,1.059939250337237e-8
67,2,1.1008195765071999e-8
68,2,1.154292404317926e-8
69,2,1.1986686721338488e-8
70,2,1.2526842808750935e-8
71,2,1.3024109403188894e-8
72,2,1.3463861850891109e-8
73,2,1.3913527152011146e-8
74,2,1.399180529593257e-8
75,2,1.356753763259059e-8
76,2,1.291917756628555e-8
77,2,1.1673562533731536e-8
78,2,9.814662664590179e-9
79,2,7.687014383699254e-9
80,2,5.4530506935349786e-9
81,2,3.2457246383159296e-9
82,2,1.3076856476872885e-9
83,2,3.2165602624130205e-10
84,2,6.969399588039992e-11
85,2,1.3681940165673627e-11
86,2,2.6478727451821932e-12
87,2,5.666386560472575e-13
88,2,1.4107088265154827e-13
89,2,3.774064722243192e-14
90,2,9.437723665916553e-15
91,2,2.0014241220236145e-15
92,2,3.604827320905439e-16
93,2,6.80820054294686e-17
94,2,2.068048701129441e-17
95,2,9.917091677754366e-18
96,2,4.845814652381369e-18
97,2,2.447256282488012e-18
98,2,1.3862556719843236e-18
99,2,7.166462683182468e-19
100,2,3.384186855499834e-19
1,3,1.3286613365726704e-18
2,3,2.7831413004158845e-18
3,3,5.111520892463309e-18
4,3,9.150950122150264e-18
5,3,2.1510950830159128e-17
6,3,7.767293931087766e-17
7,3,3.521858613800439e-16
8,3,1.6634405286301556e-15
9,3,9.6421454920811e-15
10,3,6.620939559531755e-14
11,3,4.1599498082878016e-13
12,3,2.135509612220218e-12
13,3,9.234578950586838e-12
14,3,4.0836422277630055e-11
15,3,1.5282329757469356e-10
16,3,4.3300891508393667e-10
17,3,7.322390505886987e-10
18,3,9.450635097739789e-10
19,3,1.0695514395770757e-9
20,3,1.297871782463663e-9
21,3,1.826255642522976e-9
22,3,3.3631046446599204e-9
23,3,8.019095317294268e-9
24,3,1.66155522460811e-8
25,3,2.5980952207666685e-8
26,3,3.263111099173532e-8
27,3,3.487146355005509e-8
28,3,3.5549762331048296e-8
29,3,3.5731194022220235e-8
30,3,3.538765081402717e-8
31,3,3.365661992197025e-8
32,3,2.8546733008174078e-8
33,3,2.1270130102245453e-8
34,3,1.3730373245590396e-8
35,3,7.36604210282152e-9
36,3,4.028788035310679e-9
37,3,3.2299035116111236e-9
38,3,3.4989715341758385e-9
39,3,6.133186120124284e-9
40,3,1.1272322654977481e-8
41,3,1.8917524832582176e-8
42,3,2.9854381476344254e-8
43,3,4.411652643718308e-8
44,3,6.299599068617273e-8
45,3,8.698352938027512e-8
46,3,1.1605004421982573e-7
47,3,1.4971612702647634e-7
48,3,1.8598135493646487e-7
49,3,2.219995641415124e-7
50,3,2.4123718879389584e-7
51,3,2.4752674802084416e-7
52,3,2.4891523516422614e-7
53,3,2.485519321626703e-7
54,3,2.2621102008962734e-7
55,3,1.8959429364929933e-7
56,3,1.5132014910066417e-7
57,3,1.1417736021324091e-7
58,3,8.178091439657483e-8
59,3,5.5400917271101085e-8
60,3,3.5851572612757304e-8
61,3,2.3108422553162416e-8
62,3,1.595873521651069e-8
63,3,1.2414893701108394e-8
64,3,1.0968767671615872e-8
65,3,1.064702057124804e-8
66,3,1.0829380079805516e-8
67,3,1.1699868451872397e-8
68,3,1.2405541802560857e-8
69,3,1.2543308709176898e-8
70,3,1.2583960419568054e-8
71,3,1.2659443939961365e-8
72,3,1.2893837855499595e-8
73,3,1.299831850348755e-8
74,3,1.3154339310250959e-8
75,3,1.3286789298059261e-8
76,3,1.3125905330537195e-8
77,3,1.2723878230133006e-8
78,3,1.2033129089536313e-8
79,3,1.0644870733952178e-8
80,3,8.673391906209293e-9
81,3,6.560913444297727e-9
82,3,4.370298880629023e-9
83,3,2.2689492222265017e-9
84,3,7.074253965136758e-10
85,3,1.44832854845992e-10
86,3,2.7217287370238328e-11
87,3,4.924600567374537e-12
88,3,9.312540322684146e-13
89,3,2.0199250626405396e-13
90,3,4.8737144915794695e-14
91,3,1.1517078127681221e-14
92,3,2.382052719709866e-15
93,3,4.223935081445411e-16
94,3,7.690863865922814e-17
95,3,2.1900134389997524e-17
96,3,1.0232079242274826e-17
97,3,5.080705633204288e-18
98,3,2.5048590081920355e-18
99,3,1.3749534839281052e-18
100,3,6.964157430042136e-19
1,4,2.6420919467083198e-18
2,4,5.0965653296306835e-18
3,4,9.222492588359841e-18
4,4,2.19699899711031e-17
5,4,8.423352919371485e-17
6,4,4.1398315215671658e-16
7,4,2.0035249160492293e-15
8,4,1.1339849642859328e-14
9,4,7.866247844537556e-14
10,4,5.123248392732858e-13
11,4,2.7447861775434664e-12
12,4,1.2470371131365704e-11
13,4,5.965940423444436e-11
14,4,2.227902355865918e-10
15,4,5.751700819914135e-10
16,4,8.978512566180332e-10
17,4,1.1204350197105923e-9
18,4,1.2803772787619004e-9
19,4,1.6026053430119716e-9
20,4,2.4783183589162324e-9
21,4,5.258412831265352e-9
22,4,1.2761265171284719e-8
23,4,2.2519709002296884e-8
24,4,3.07620191888037e-8
25,4,3.416704205674937e-8
26,4,3.5083274837075815e-8
27,4,3.535848116383435e-8
28,4,3.501090270888213e-8
29,4,3.2825686705845146e-8
30,4,2.6707662548852827e-8
31,4,1.837245019935814e-8
32,4,1.0877412642373197e-8
33,4,5.158742944470235e-9
34,4,2.377965250313522e-9
35,4,1.117496529157862e-9
36,4,6.598181056187558e-10
37,4,5.929643881798016e-10
