x,y,C
113,4,2.87611103171809e-13
114,4,4.423846229534158e-13
115,4,7.503197475831751e-13
116,4,1.2293133288831423e-12
117,4,2.150824085840073e-12
118,4,3.893690843463498e-12
119,4,7.325066659220658e-12
120,4,2.0694536817719194e-11
121,4,6.73834169915761e-11
122,4,2.0406671610946975e-10
123,4,5.434668594659864e-10
124,4,2.844194511678399e-9
125,4,1.4489340051467056e-8
126,4,4.226090362724533e-8
127,4,7.425629831306324e-8
128,4,6.028645853922633e-8
1,5,8.712720030470773e-9
2,5,4.479525401110012e-11
3,5,1.3549556793458474e-11
4,5,1.1306764947673764e-11
5,5,1.0123563095508894e-11
6,5,9.353038225408234e-12
7,5,8.553444244549091e-12
8,5,7.587862059885412e-12
9,5,6.5742585942807625e-12
10,5,5.573771740645612e-12
11,5,4.433070438988418e-12
12,5,3.3729403240844845e-12
13,5,2.3623566791298993e-12
14,5,1.4900906195060382e-12
15,5,8.415707893558521e-13
16,5,4.257587271283989e-13
17,5,1.766397501753123e-13
18,5,3.647523235053883e-14
19,5,6.198303432090117e-15
20,5,1.1282186408293702e-15
21,5,2.361297034881649e-16
22,5,6.8611801998962e-17
23,5,3.705550944980648e-17
24,5,3.227166945089799e-17
25,5,3.2003076341525716e-17
26,5,3.2138822947520193e-17
27,5,3.2627999084609167e-17
28,5,3.344239739651157e-17
29,5,3.493606117125957e-17
30,5,3.758737956749015e-17
31,5,4.148882788391368e-17
32,5,4.654139513517621e-17
33,5,5.2657163293375884e-17
34,5,5.982503880017822e-17
35,5,6.811149795888659e-17
